company,country,contact_name,title,email,email_status,linkedin_url,confidence
Thai Usui Co Ltd,Thailand,Takuya,Director,,,,MEDIUM
Jet Industries Co Ltd,Thailand,Amy,Chief Financial Officer,,,,MEDIUM
Jet Industries Co Ltd,Thailand,Welly,Chief Executive Officer,,,,MEDIUM
Presisi Group,Indonesia,Jethro,Director of Construction,,,,MEDIUM
PT Dinamika Polimerindo,Indonesia,Hindarto,Managing Director,,,,MEDIUM
PT Dinamika Polimerindo,Indonesia,Kristian,Managing Director,,,,MEDIUM
Anil Plastics and Enterprises,India,Rabiyakhatun,Co-Chief Executive Officer,,,,MEDIUM
Pradip Plastic Moulders Pvt Ltd,India,Sundeep,Director,,,,MEDIUM
Pradip Plastic Moulders Pvt Ltd,India,Aditya,Director,,,,MEDIUM
Jairaj Group,India,Doppalapudi,Chief Executive Officer,,,,MEDIUM
Jairaj Group,India,Jayant,Founder & Chairman,,,,MEDIUM
Jairaj Group,India,Malu,Associate Director,,,,MEDIUM
Jairaj Group,India,Dhaval,Director,,,,MEDIUM
Holly Plastic Parts Co Ltd,China,Jianjun,Sales Director,,,,MEDIUM
